82         & caterer              & NULL/ed/er/ers/ing/s.NULL, NULL/s.NULL, d/r/rs.r \\
83         & caterers             & NULL/ed/er/ers/ing/s.NULL, NULL/s.NULL, d/r/rs.rs \\
84         & clergyman            & (2)/NULL.NULL, NULL/man/men.NULL, an/en.an \\
85         & clergymen            & (2)/NULL.NULL, NULL/man/men.NULL, an/en.en \\
86         & climates             & (2)/NULL.NULL, (2)/NULL/s/s(2).NULL, e/es/ic.es \\
87         & climber              & NULL/ed/er/ers/ing/s.NULL, NULL/s.NULL, d/r/rs.r \\
88         & climbers             & NULL/ed/er/ers/ing/s.NULL, NULL/s.NULL, d/r/rs.rs \\
89         & clipper              & NULL/ped/per/pers/ping/s.NULL, NULL/s.NULL, d/r/rs.r \\
90         & clippers             & NULL/ped/per/pers/ping/s.NULL, NULL/s.NULL, d/r/rs.rs \\
91         & clogging             & (2)/NULL.NULL, NULL/ged/ging/s.NULL, ed/ing.ing \\
92         & clutches             & (2)/NULL.NULL, NULL/ed/es/ing.NULL, d/s/s(2).s \\
93         & collins's            & 's/NULL.'s, (2)/NULL.NULL, NULL/s/s's.NULL \\
94         & commingled           & (2)/NULL.NULL, NULL/d/d(2).NULL, e/ed/ing.ed \\
95         & commodity            & 's/NULL.NULL, ies/y/y's.y, ous/ty.ty \\
96         & communications       & '/NULL.NULL, 's/NULL/s/s'.NULL, e/ed/es/ing/ion/ions/ive/or/ors.ions \\
97         & commuter             & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.er \\
98         & commuters            & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.ers \\
99         & complication         & NULL/s.NULL, e/ed/es/ing/ion/ions.ion, ng/on/ons.on \\
100        & complications        & NULL/s.NULL, e/ed/es/ing/ion/ions.ions, ng/on/ons.ons \\
101        & comprises            & (2)/NULL.NULL, NULL/d/s/s(2).NULL, e/ed/es/ing.es \\
102        & concentrated         & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, e/ed/es/ing/ion/ions.ed \\
103        & concentration        & NULL/s.NULL, e/ed/es/ing/ion/ions.ion, ng/on/ons.on \\
104        & concentrations       & NULL/s.NULL, e/ed/es/ing/ion/ions.ions, ng/on/ons.ons \\
105        & conclude             & NULL/d/d(2)/s.NULL, de/ded/des/ding/sion/sive.de, e/ed/es/ing.e \\
106        & concludes            & NULL/d/d(2)/s.NULL, de/ded/des/ding/sion/sive.des, e/ed/es/ing.es \\
107        & conclusion           & NULL/s.NULL, de/ded/des/ding/sion/sive.sion, on/ons/ve/vely.on \\
108        & conclusive           & NULL/ly.NULL, de/ded/des/ding/sion/sive.sive, on/ons/ve/vely.ve \\
109        & confusing            & NULL/ly.NULL, e/ed/es/ing/ion/ions.ing, ng/on/ons.ng \\
110        & confusion            & NULL/s.NULL, e/ed/es/ing/ion/ions.ion, ng/on/ons.on \\
111        & confusions           & NULL/s.NULL, e/ed/es/ing/ion/ions.ions, ng/on/ons.ons \\
112        & contaminated         & (2)/NULL.NULL, NULL/d/d(2).NULL, e/ed/ing/ion.ed \\
113        & contender            & NULL/ed/er/ers/ing/s.NULL, NULL/s.NULL, d/r/rs.r \\
114        & contenders           & NULL/ed/er/ers/ing/s.NULL, NULL/s.NULL, d/r/rs.rs \\
115        & controllers          & '/NULL.NULL, 's/NULL/s/s'.NULL, d/r/r's/rs/rs'.rs \\
116        & controllers'         & '/NULL.', 's/NULL/s/s'.NULL, d/r/r's/rs/rs'.rs' \\
117        & craftsman            & NULL/man/men.NULL, NULL/ship.NULL, an/en.an \\
118        & crowded              & (2)/NULL.NULL, NULL/ed/er/ing/s.NULL, d/d(2)/r.d \\
119        & cruiser              & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.er \\
120        & cruisers             & NULL/d/r/rs/s.NULL, NULL/s.NULL, e/ed/er/ers/es/ing.ers \\
